event_ID.y	n
ENSG00000100201;ENSG00000100211;ENSG00000100221;ENSG00000100242;ENSG00000184949;ENSG00000100138	13
ENSG00000100201;ENSG00000100211;ENSG00000100221;ENSG00000128268;ENSG00000184949	10
ENSG00000100242	69
ENSG00000108771;ENSG00000037042;ENSG00000108825;ENSG00000159314;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083;ENSG00000262633	150
ENSG00000120071;ENSG00000073969;ENSG00000185829;ENSG00000228696;ENSG00000238083	2450
ENSG00000120071;ENSG00000185829;ENSG00000228696;ENSG00000238083	1388
ENSG00000120088;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083	925
ENSG00000136448;ENSG00000159314;ENSG00000225190;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000256762;ENSG00000120071;ENSG00000176681;ENSG00000228696;ENSG00000238083	268
ENSG00000138439;ENSG00000138442;ENSG00000138380;ENSG00000144426	339
ENSG00000138439;ENSG00000163596;ENSG00000138380	346
ENSG00000138439;ENSG00000163596;ENSG00000138442;ENSG00000138380	331
ENSG00000138442;ENSG00000144426	72
ENSG00000159314;ENSG00000225190;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000256762;ENSG00000120071;ENSG00000176681;ENSG00000228696;ENSG00000238083	352
ENSG00000159314;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083;ENSG00000262633;ENSG00000141232	246
ENSG00000163596;ENSG00000138380	366
ENSG00000163596;ENSG00000138380;ENSG00000144426	894
ENSG00000184949	132
ENSG00000185829	5122
ENSG00000186868;ENSG00000120071;ENSG00000073969;ENSG00000185829;ENSG00000228696;ENSG00000238083	2
ENSG00000186868;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083	57
ENSG00000228696	190
	330
