event_ID.y	n
ENSG00000055211;ENSG00000120253;ENSG00000131023	520
ENSG00000100201;ENSG00000100211;ENSG00000100221;ENSG00000100242;ENSG00000184949;ENSG00000100138	13
ENSG00000100201;ENSG00000100211;ENSG00000100221;ENSG00000128268;ENSG00000184949	10
ENSG00000100242	69
ENSG00000108771;ENSG00000037042;ENSG00000108825;ENSG00000159314;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083;ENSG00000262633	2
ENSG00000120071;ENSG00000073969;ENSG00000185829;ENSG00000228696;ENSG00000238083	173
ENSG00000120071;ENSG00000185829;ENSG00000228696;ENSG00000238083	140
ENSG00000120088;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083	186
ENSG00000120253;ENSG00000120256;ENSG00000131023	157
ENSG00000120253;ENSG00000120265;ENSG00000131023	72
ENSG00000120253;ENSG00000120265;ENSG00000131023;ENSG00000186625	158
ENSG00000120253;ENSG00000131023	108
ENSG00000131013;ENSG00000055211;ENSG00000120253;ENSG00000131023	200
ENSG00000136448;ENSG00000159314;ENSG00000225190;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000256762;ENSG00000120071;ENSG00000176681;ENSG00000228696;ENSG00000238083	36
ENSG00000138439;ENSG00000138442;ENSG00000138380;ENSG00000144426	339
ENSG00000138439;ENSG00000163596;ENSG00000138380	350
ENSG00000138439;ENSG00000163596;ENSG00000138442;ENSG00000138380	330
ENSG00000138442;ENSG00000144426	72
ENSG00000159314;ENSG00000225190;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000256762;ENSG00000120071;ENSG00000176681;ENSG00000228696;ENSG00000238083	88
ENSG00000159314;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083;ENSG00000262633;ENSG00000141232	3
ENSG00000163596;ENSG00000138380	368
ENSG00000163596;ENSG00000138380;ENSG00000144426	896
ENSG00000184949	132
ENSG00000185829	531
ENSG00000186868;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083	3
ENSG00000228696	4
	91
