event_ID.y	n
ENSG00000108771;ENSG00000037042;ENSG00000108825;ENSG00000159314;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083;ENSG00000262633	2
ENSG00000120071;ENSG00000073969;ENSG00000185829;ENSG00000228696;ENSG00000238083	173
ENSG00000120071;ENSG00000185829;ENSG00000228696;ENSG00000238083	140
ENSG00000120088;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083	186
ENSG00000136448;ENSG00000159314;ENSG00000225190;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000256762;ENSG00000120071;ENSG00000176681;ENSG00000228696;ENSG00000238083	36
ENSG00000159314;ENSG00000225190;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000256762;ENSG00000120071;ENSG00000176681;ENSG00000228696;ENSG00000238083	88
ENSG00000159314;ENSG00000263715;ENSG00000120088;ENSG00000185294;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083;ENSG00000262633;ENSG00000141232	3
ENSG00000185829	531
ENSG00000186868;ENSG00000120071;ENSG00000176681;ENSG00000185829;ENSG00000228696;ENSG00000238083	3
ENSG00000228696	4
	91
