#chr	start	end	gene_id	strand	gene_name	event_ID
chr1	23956838	23963461	ENSG00000189266	+	PNRC2	AD_Bellenguez; AD_Bellenguez_EADB_2022
chr1	23964346	23980926	ENSG00000188529	-	SRSF10	AD_Bellenguez; AD_Bellenguez_EADB_2022
chr1	161215233	161220698	ENSG00000158869	+	FCER1G	AD_Bellenguez; AD_Wightman_Excluding23andMe_2021
chr1	200891047	200915741	ENSG00000163362	+	INAVA	AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021
chr1	200969389	201023713	ENSG00000116852	-	KIF21B	AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021
chr1	207034365	207081023	ENSG00000123836	+	PFKFB2	AD_Bellenguez; AD_Kunkle_Stage1_2019; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; AD_Bellenguez_EADB_2022
chr1	207043848	207052979	ENSG00000180667	-	YOD1	AD_Bellenguez; AD_Kunkle_Stage1_2019; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; AD_Bellenguez_EADB_2022
chr1	207454229	207489894	ENSG00000117322	+	CR2	AD_Bellenguez; AD_Kunkle_Stage1_2019; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; AD_Bellenguez_EADB_2022
chr1	207496146	207641764	ENSG00000203710	+	CR1	AD_Bellenguez; AD_Kunkle_Stage1_2019; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; AD_Bellenguez_EADB_2022
chr2	9403474	9423527	ENSG00000119185	-	ITGB1BP1	AD_Bellenguez
chr2	9473657	9496542	ENSG00000134330	+	IAH1	AD_Bellenguez
chr2	9488485	9556731	ENSG00000151694	-	ADAM17	AD_Bellenguez
chr2	127048026	127107287	ENSG00000136717	-	BIN1	AD_Bellenguez; AD_Kunkle_Stage1_2019; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; AD_Bellenguez_EADB_2022
chr2	134455758	134718999	ENSG00000152128	-	TMEM163	AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021
chr2	134918234	134959341	ENSG00000082258	+	CCNT2	AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021
chr2	159318978	159616568	ENSG00000123636	-	BAZ2B	AD_Bellenguez; AD_Wightman_ExcludingUKBand23andME_2021
chr2	159768627	159798254	ENSG00000241399	-	CD302	AD_Bellenguez; AD_Wightman_ExcludingUKBand23andME_2021
chr2	159803354	159904755	ENSG00000054219	-	LY75	AD_Bellenguez; AD_Wightman_ExcludingUKBand23andME_2021
chr2	202634968	202769756	ENSG00000138439	+	FAM117B	image_Aging5; AD_Bellenguez; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	202773149	202871765	ENSG00000163596	-	ICA1L	image_Aging5; AD_Bellenguez; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
