#chr	start	end	gene_id	gene_name
chr12	115920000	118120000	ENSG00000088992	
chr12	115856144	117881441	ENSG00000135116	
chr12	64169582	66248355	ENSG00000174106	
chr12	63404391	66160000	ENSG00000184575	
chr16	28360000	34000000	ENSG00000090238	
chr16	28360000	34000000	ENSG00000102882	
chr16	28360000	34000000	ENSG00000169592	
chr16	28360000	34000000	ENSG00000174939	
chr1	7600000	10271337	ENSG00000049239	
chr7	146080000	152840000	ENSG00000197362	
chr10	122600000	125840000	ENSG00000107902	
chr10	123748149	125840000	ENSG00000203791	
chr11	45380755	48440000	ENSG00000110492	
chr12	115910949	118120000	ENSG00000174989	
chr12	55316223	57960000	ENSG00000135473	
chr12	64278642	66491430	ENSG00000174099	
chr16	28360000	34000000	ENSG00000102886	
chr16	28360000	34000000	ENSG00000149922	
chr16	28360000	34000000	ENSG00000149932	
chr16	28360000	34000000	ENSG00000185905	
chr16	28360000	34000000	ENSG00000198064	
chr17	28360000	32440000	ENSG00000126653	
chr17	28360000	32440000	ENSG00000141298	
chr17	28360000	32440000	ENSG00000176927	
chr17	42560000	46680000	ENSG00000006062	
chr17	58200000	60215239	ENSG00000167447	
chr6	125340114	127680000	ENSG00000203760	
chr10	123942122	125988189	ENSG00000019995	
chr10	123617080	125840000	ENSG00000258539	
chr12	115738177	117853631	ENSG00000135119	
chr16	25040000	34000000	ENSG00000169203	
chr16	25040000	34000000	ENSG00000181625	
chr16	28360000	34000000	ENSG00000149923	
chr16	28360000	34000000	ENSG00000149927	
chr16	28360000	34000000	ENSG00000149930	
chr16	28360000	34000000	ENSG00000174938	
chr16	28360000	34000000	ENSG00000174943	
chr16	28360000	34000000	ENSG00000103490	
chr17	28360000	36520000	ENSG00000126858	
chr17	57755853	59985179	ENSG00000175175	
chr1	165975581	168120000	ENSG00000143194	
chr1	50236272	52273447	ENSG00000123091	
chr1	64840000	68054148	ENSG00000116704	
chr2	159960000	162360000	ENSG00000136560	
chr4	101885048	104019719	ENSG00000164037	
chr5	82280000	84582303	ENSG00000038427	
chr6	126000000	128199481	ENSG00000146374	
chr7	146080000	152840000	ENSG00000197024	
chr7	43920000	46088969	ENSG00000136274	
chr8	9840000	12600000	ENSG00000171044	
chr12	115920000	118190471	ENSG00000135108	
chr1	49437028	52080000	ENSG00000185104	
chr20	26400000	34320000	ENSG00000171552	
chr20	38920000	42196801	ENSG00000124181	
chr6	10520000	13760000	ENSG00000205269	
chr8	9764961	12600000	ENSG00000254093	
chr1	45786986	46036121	ENSG00000086015	MAST2
chr2	224765089	225042467	ENSG00000135905	DOCK10
chr2	234493040	234497080	ENSG00000188042	ARL4C
chr5	66596360	67169594	ENSG00000069020	MAST4
chr5	83471673	83582302	ENSG00000038427	VCAN
chr5	151029944	151093576	ENSG00000145901	TNIP1
chr6	11537748	11583523	ENSG00000205269	TMEM170B
chr6	126340114	126348874	ENSG00000203760	CENPW
chr7	7636517	7718606	ENSG00000106399	RPA3
chr7	22889370	23014129	ENSG00000122591	FAM126A
chr7	23105757	23177913	ENSG00000122550	KLHL7
chr7	23182023	23201005	ENSG00000136243	NUP42
chr7	23235966	23275107	ENSG00000136235	GPNMB
chr7	148590765	148615859	ENSG00000170279	C7orf33
chr7	149069640	149090781	ENSG00000197362	ZNF786
chr7	149102783	149126323	ENSG00000204947	ZNF425
chr7	149126415	149183041	ENSG00000197024	ZNF398
chr10	28532492	28623111	ENSG00000095787	WAC
chr10	124617079	124791726	ENSG00000258539	AC068896.1
chr10	124748148	124791886	ENSG00000203791	EEF1AKMT2
chr12	33374237	33439818	ENSG00000110975	SYT10
chr12	67648337	67665405	ENSG00000127334	DYRK2
chr12	102012839	102062148	ENSG00000120860	WASHC3
chr12	102120182	102197519	ENSG00000185480	PARPBP
chr13	36168216	36214587	ENSG00000120669	SOHLH2
chr13	36168793	36297841	ENSG00000250709	CCDC169-SOHLH2
chr13	36222007	36297839	ENSG00000242715	CCDC169
chr13	36301637	36370179	ENSG00000133104	SPART
chr16	14922801	14952059	ENSG00000183426	NPIPA1
chr16	29871158	29899546	ENSG00000174938	SEZ6L2
chr16	29900374	29919863	ENSG00000174939	ASPHD1
chr16	29905011	29926235	ENSG00000174943	KCTD13
chr16	29940884	29973049	ENSG00000149932	TMEM219
chr16	30104809	30113536	ENSG00000102886	GDPD3
chr16	30114104	30123505	ENSG00000102882	MAPK3
chr17	29614755	29622906	ENSG00000167549	CORO6
chr17	29625937	29930275	ENSG00000141298	SSH2
chr17	29929199	30108451	ENSG00000176927	EFCAB5
chr17	30115520	30186474	ENSG00000126653	NSRP1
chr17	58489528	58517904	ENSG00000108389	MTMR4
chr17	58692572	58735610	ENSG00000108384	RAD51C
chr17	58755853	58985178	ENSG00000175175	PPM1E
chr17	58982637	59106920	ENSG00000108395	TRIM37
chr20	31664451	31723988	ENSG00000171552	BCL2L1
