#chr	start	end	gene_id	gene_name
chr12	63507000	66160000	ENSG00000153179	
chr12	64169582	66248355	ENSG00000174106	
chr12	63404391	66160000	ENSG00000184575	
chr20	34433347	37080000	ENSG00000125965	
chr2	231479827	235760000	ENSG00000171551	
chr6	25960000	30480000	ENSG00000276302	
chr6	25960000	30480000	ENSG00000197935	
chr11	45380755	48440000	ENSG00000110492	
chr12	115920000	118120000	ENSG00000088992	
chr12	115910949	118120000	ENSG00000174989	
chr12	63452089	66160000	ENSG00000183735	
chr17	41720000	46680000	ENSG00000176563	
chr17	41720000	46680000	ENSG00000108828	
chr17	42398992	46680000	ENSG00000175906	
chr17	42560000	46680000	ENSG00000141349	
chr17	42560000	46680000	ENSG00000006062	
chr17	42560000	47225389	ENSG00000120071	
chr17	42560000	50760000	ENSG00000185829	
chr17	42560000	46999694	ENSG00000256762	
chr1	20520000	24424748	ENSG00000204219	
chr20	34542037	37080000	ENSG00000125991	
chr6	25033092	30480000	ENSG00000278463	
chr6	29640000	33560000	ENSG00000204435	
chr6	29640000	33560000	ENSG00000204421	
chr6	29640000	33560000	ENSG00000224389	
chr11	111074085	113880000	ENSG00000150776	
chr11	45800000	48440000	ENSG00000149179	
chr12	115738177	117853631	ENSG00000135119	
chr17	41579513	46680000	ENSG00000141699	
chr17	41720000	46680000	ENSG00000012048	
chr17	42560000	46680000	ENSG00000108861	
chr17	41720000	46680000	ENSG00000236383	
chr17	42560000	46680000	ENSG00000161682	
chr17	42560000	46680000	ENSG00000131094	
chr17	42560000	46680000	ENSG00000136448	
chr17	42560000	46680000	ENSG00000186834	
chr17	42560000	50760000	ENSG00000176681	
chr17	42560000	50760000	ENSG00000238083	
chr17	42560000	50760000	ENSG00000073969	
chr1	20520000	24484568	ENSG00000088280	
chr20	34668052	37080000	ENSG00000244005	
chr2	216000000	219659655	ENSG00000115568	
chr2	216000000	219640000	ENSG00000144580	
chr2	216000000	222640000	ENSG00000072195	
chr2	53456316	55680000	ENSG00000115306	
chr5	154640000	160440000	ENSG00000055163	
chr5	65596360	71320000	ENSG00000069020	
chr6	10520000	13760000	ENSG00000205269	
chr6	124986478	127680000	ENSG00000066651	
chr6	25960000	30480000	ENSG00000275126	
chr6	25960000	30480000	ENSG00000187626	
chr6	25960000	30480000	ENSG00000189298	
chr6	29640000	33560000	ENSG00000204410	
chr12	115920000	118190471	ENSG00000135108	
chr12	64278642	66491430	ENSG00000174099	
chr17	41659283	46680000	ENSG00000037042	
chr17	42560000	46680000	ENSG00000108840	
chr17	42560000	46680000	ENSG00000225190	
chr2	216000000	219640000	ENSG00000115556	
chr8	9764961	12600000	ENSG00000254093	
chr9	88360787	90920000	ENSG00000187764	
chr6	25634383	30480000	ENSG00000181315	
chr1	236215100	236281957	ENSG00000086619	ERO1B
chr2	231961244	232344349	ENSG00000144535	DIS3L2
chr5	66596360	67169594	ENSG00000069020	MAST4
chr5	78002325	78294697	ENSG00000132842	AP3B1
chr5	83471673	83582302	ENSG00000038427	VCAN
chr5	140175155	140282051	ENSG00000120306	CYSTM1
chr5	151029944	151093576	ENSG00000145901	TNIP1
chr6	11537748	11583523	ENSG00000205269	TMEM170B
chr6	27133041	27135290	ENSG00000196787	H2AC11
chr6	27873147	27873533	ENSG00000275126	H4C13
chr6	75291858	75493799	ENSG00000118407	FILIP1
chr7	44999474	45076468	ENSG00000136280	CCM2
chr7	45100099	45112046	ENSG00000136270	TBRG4
chr11	46332904	46380553	ENSG00000149091	DGKZ
chr11	46380755	46383836	ENSG00000110492	MDK
chr11	46617526	46674817	ENSG00000175224	ATG13
chr11	46743047	46846307	ENSG00000175216	CKAP5
chr11	46856716	46918641	ENSG00000134569	LRP4
chr11	46936688	47164384	ENSG00000149179	C11orf49
chr11	47177521	47186442	ENSG00000165912	PACSIN3
chr11	47248299	47269032	ENSG00000025434	NR1H3
chr11	57667746	57701181	ENSG00000156599	ZDHHC5
chr11	57712581	57818430	ENSG00000288534	AP001931.2
chr11	57712592	57740972	ENSG00000213593	TMX2
chr11	57753242	57819545	ENSG00000198561	CTNND1
chr10	101570559	101609661	ENSG00000166171	DPCD
chr12	56222014	56229853	ENSG00000139579	NABP2
chr12	56237806	56258383	ENSG00000139645	ANKRD52
chr12	56266941	56270965	ENSG00000135469	COQ10A
chr12	56271698	56300390	ENSG00000062485	CS
chr12	56309841	56316118	ENSG00000257727	CNPY2
chr12	56316222	56334052	ENSG00000135473	PAN2
chr12	56334173	56340409	ENSG00000110944	IL23A
chr12	56341596	56360141	ENSG00000170581	STAT2
chr13	36168216	36214587	ENSG00000120669	SOHLH2
chr13	36168793	36297841	ENSG00000250709	CCDC169-SOHLH2
chr13	36222007	36297839	ENSG00000242715	CCDC169
chr13	36301637	36370179	ENSG00000133104	SPART
chr17	82101459	82212829	ENSG00000176155	CCDC57
chr20	35302565	35412030	ENSG00000101019	UQCC1
chr20	35433346	35454745	ENSG00000125965	GDF5
