#chr	start	end	gene_id	strand	gene_name	event_ID
chr1	205042936	205078288	ENSG00000184144	+	CNTN2	image_Aging5
chr1	205083128	205084459	ENSG00000174529	-	TMEM81	image_Aging5
chr1	205086141	205122014	ENSG00000117222	-	RBBP5	image_Aging5
chr1	205142504	205211701	ENSG00000133059	-	DSTYK	image_Aging5
chr1	205227945	205285631	ENSG00000133069	+	TMCC2	image_Aging5
chr1	205302062	205321744	ENSG00000163545	-	NUAK2	image_Aging5
chr1	236215100	236281957	ENSG00000086619	-	ERO1B	image_AD2; image_Aging4
chr2	202773149	202871765	ENSG00000163596	-	ICA1L	image_Aging5; AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	202874260	203014797	ENSG00000138442	-	WDR12	image_Aging5; AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	202912213	202988262	ENSG00000138380	+	CARF	image_Aging5; AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	203014878	203226377	ENSG00000144426	+	NBEAL1	image_Aging5; AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr3	46921725	46982009	ENSG00000160799	-	CCDC12	image_AD1; image_Aging5
chr3	46979665	47009703	ENSG00000160796	+	NBEAL2	image_AD1; image_Aging5
chr3	47413680	47477125	ENSG00000114650	-	SCAP	image_AD1; image_Aging5
chr3	47495639	47513711	ENSG00000163832	-	ELP6	image_AD1; image_Aging5
chr3	89107620	89482133	ENSG00000044524	+	EPHA3	image_Aging5; mvage
chr4	82430589	82461176	ENSG00000145293	+	ENOPH1	image_Aging1; Telomere_pc1
chr4	82818508	82901165	ENSG00000138674	-	SEC31A	image_Aging1; Telomere_pc1
chr4	82909972	83012925	ENSG00000189308	-	LIN54	image_Aging1; Telomere_pc1
chr5	66596360	67169594	ENSG00000069020	+	MAST4	image_AD2; image_Aging2
chr5	78002325	78294697	ENSG00000132842	-	AP3B1	image_AD2; image_Aging4
chr5	83471673	83582302	ENSG00000038427	+	VCAN	image_AD2; image_Aging2
chr5	151029944	151093576	ENSG00000145901	-	TNIP1	image_AD2; image_Aging2; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021
chr6	126340114	126348874	ENSG00000203760	+	CENPW	image_Aging1; image_Aging2; image_Aging5
chr6	149504494	149546042	ENSG00000131013	-	PPIL4	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149566293	149591747	ENSG00000055211	+	GINM1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149594872	149648971	ENSG00000186625	-	KATNA1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149658152	149718104	ENSG00000131023	-	LATS1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149724314	149749664	ENSG00000120253	-	NUP43	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149749442	149811419	ENSG00000120265	+	PCMT1	image_Aging2; AD_Wightman_Excluding23andMe_2021
