#chr	start	end	gene_id	gene_name
chr10	103268872	105304950	ENSG00000065621	
chr10	99320000	102783413	ENSG00000107833	
chr10	102877569	104918184	ENSG00000107960	
chr10	103309698	105338465	ENSG00000148841	
chr10	3080000	7840000	ENSG00000057608	
chr10	3080000	7840000	ENSG00000108021	
chr10	92480000	97760000	ENSG00000119969	
chr10	92480000	95240000	ENSG00000176273	
chr10	94520000	98426076	ENSG00000052749	
chr10	94520000	100280000	ENSG00000249967	
chr11	0	3560000	ENSG00000177951	
chr11	7840000	10752993	ENSG00000133789	
chr12	110766886	112817532	ENSG00000111275	
chr12	110840000	113382439	ENSG00000173064	
chr12	110753889	112791418	ENSG00000257767	
chr12	119469849	124040000	ENSG00000088986	
chr12	120080000	124040000	ENSG00000110801	
chr12	119438112	124040000	ENSG00000111775	
chr12	119438197	124040000	ENSG00000111780	
chr12	119578764	124040000	ENSG00000167272	
chr12	119446443	124040000	ENSG00000257218	
chr12	120080000	124244014	ENSG00000051825	
chr12	120080000	124040000	ENSG00000111325	
chr12	120080000	124272334	ENSG00000111328	
chr12	120080000	124040000	ENSG00000184445	
chr12	45120000	52120000	ENSG00000139620	
chr13	39640000	42320000	ENSG00000120696	
chr13	48800000	52024120	ENSG00000136104	
chr13	70560000	75560000	ENSG00000083535	
chr14	0	24480000	ENSG00000136319	
chr14	61840000	67760000	ENSG00000126804	
chr14	61840000	67760000	ENSG00000139998	
chr14	61840000	67760000	ENSG00000258289	
chr14	71800000	73959703	ENSG00000119599	
chr14	90240000	92417844	ENSG00000015133	
chr15	40280000	43800000	ENSG00000103932	
chr15	40280000	43800000	ENSG00000137802	
chr15	40280000	43800000	ENSG00000137877	
chr15	40280000	43800000	ENSG00000168970	
chr15	40280000	43800000	ENSG00000243708	
chr15	40280000	43800000	ENSG00000243789	
chr15	40280000	43800000	ENSG00000092531	
chr15	48621036	51000000	ENSG00000104047	
chr15	48858238	51182817	ENSG00000104043	
chr15	49160000	51600000	ENSG00000138592	
chr15	49160000	51236385	ENSG00000140284	
chr16	0	5120000	ENSG00000197562	
chr16	10840000	15360000	ENSG00000103342	
chr16	0	5120000	ENSG00000167984	
chr16	0	5120000	ENSG00000213918	
chr16	25040000	34000000	ENSG00000178952	
chr16	25040000	34000000	ENSG00000188603	
