#chr	start	end	gene_id	strand	gene_name	event_ID
chr4	82430589	82461176	ENSG00000145293	+	ENOPH1	image_Aging1; Telomere_pc1
chr4	82818508	82901165	ENSG00000138674	-	SEC31A	image_Aging1; Telomere_pc1
chr4	82909972	83012925	ENSG00000189308	-	LIN54	image_Aging1; Telomere_pc1
chr6	27133041	27135290	ENSG00000196787	+	H2AC11	image_AD2; Telomere_pc1
chr6	27873147	27873533	ENSG00000275126	-	H4C13	image_AD2; Telomere_pc1
chr11	61752635	61788517	ENSG00000124920	+	MYRF	image_Aging5; mvage
chr11	61768500	61792801	ENSG00000134825	-	TMEM258	image_Aging5; mvage
chr11	61792979	61867353	ENSG00000134824	+	FADS2	image_Aging5; mvage
chr11	61799626	61829317	ENSG00000149485	-	FADS1	image_Aging5; mvage
chr11	63838927	63911019	ENSG00000072518	+	MARK2	image_Aging5; mvage
chr22	38483437	38507659	ENSG00000100201	-	DDX17	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38578119	38656628	ENSG00000184949	-	FAM227A	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38656639	38673853	ENSG00000100211	+	CBY1	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38681956	38685420	ENSG00000100216	+	TOMM22	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38685542	38701555	ENSG00000100221	-	JOSD1	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	38734724	38794142	ENSG00000100242	-	SUN2	image_Aging3; AD_Wightman_Full_2021; Telomere_pc1
chr22	45308967	45341954	ENSG00000100376	+	FAM118A	image_Aging5; Telomere_pc1
