#chr	start	end	gene_id	source	gene_name	event_id
chr10	101503971	103680000	ENSG00000107882	TWAS	SUFU	image_AD1
chr10	102877569	104918184	ENSG00000107960	TWAS	STN1	image_AD1
chr10	101461881	103680000	ENSG00000138107	TWAS	ACTR1A	image_AD1
chr10	101461394	103680000	ENSG00000138111	TWAS	MFSD13A	image_AD1
chr10	101673731	103714397	ENSG00000138175	TWAS	ARL3	image_AD1
chr10	101644478	103680000	ENSG00000171206	TWAS	TRIM8	image_AD1
chr14	56480000	60600000	ENSG00000131966	TWAS	ACTR10	image_AD1
chr14	56480000	60600000	ENSG00000139971	TWAS	ARMH4	image_AD1
chr14	58080000	60600000	ENSG00000050130	TWAS	JKAMP	image_AD1
chr14	58080000	60600000	ENSG00000100592	TWAS	DAAM1	image_AD1
chr14	58080000	60600000	ENSG00000151838	TWAS	CCDC175	image_AD1
chr14	98737692	101760000	ENSG00000066629	TWAS	EML1	image_AD1
chr14	99238297	101760000	ENSG00000100811	TWAS	YY1	image_AD1
chr15	83980439	86139145	ENSG00000073417	TWAS	PDE8A	image_AD1
chr17	28360000	32440000	ENSG00000141298	TWAS	SSH2	image_AD1
chr17	42560000	47028334	ENSG00000186868	TWAS	MAPT	image_AD1
chr1	46360000	51023954	ENSG00000186094	TWAS	AGBL4	image_AD1
chr20	23600000	28720000	ENSG00000101004	TWAS	NINL	image_AD1
chr20	34302566	37080000	ENSG00000101019	TWAS	UQCC1	image_AD1
chr20	34433347	37080000	ENSG00000125965	TWAS	GDF5	image_AD1
chr20	34226689	37080000	ENSG00000125966	TWAS	MMP24	image_AD1
chr22	19720000	24800000	ENSG00000099940	TWAS	SNAP29	image_AD1
chr22	19707691	24800000	ENSG00000241973	TWAS	PI4KA	image_AD1
chr22	35240000	41680000	ENSG00000100097	TWAS	LGALS1	image_AD1
chr2	106080000	110600000	ENSG00000135968	TWAS	GCC2	image_AD1
chr2	36641882	39240000	ENSG00000163171	TWAS	CDC42EP3	image_AD1
chr3	46413681	50320000	ENSG00000114650	TWAS	SCAP	image_AD1
chr3	44920000	50320000	ENSG00000160796	TWAS	NBEAL2	image_AD1
chr3	44920000	50320000	ENSG00000181555	TWAS	SETD2	image_AD1
chr3	46680000	51119021	ENSG00000003756	TWAS	RBM5	image_AD1
chr3	46680000	50320000	ENSG00000164045	TWAS	CDC25A	image_AD1
chr3	46680000	50320000	ENSG00000164050	TWAS	PLXNB1	image_AD1
chr8	9840000	12600000	ENSG00000171044	TWAS	XKR6	image_AD1
chr8	9606349	12600000	ENSG00000183638	TWAS	RP1L1	image_AD1
chr8	9840000	12839304	ENSG00000079459	TWAS	FDFT1	image_AD1
chr8	9840000	13720000	ENSG00000145002	TWAS	FAM86B2	image_AD1
chr8	9840000	12600000	ENSG00000154319	TWAS	FAM167A	image_AD1
chr8	9840000	12869533	ENSG00000164733	TWAS	CTSB	image_AD1
chr8	9840000	13720000	ENSG00000186523	TWAS	FAM86B1	image_AD1
chr8	118873716	122720000	ENSG00000155792	TWAS	DEPTOR	image_AD1
chr8	7160000	9893630	ENSG00000147324	TWAS	MFHAS1	image_AD1
chr8	7160000	10782346	ENSG00000173273	TWAS	TNKS	image_AD1
chr10	102040000	104446294	ENSG00000148843	TWAS	PDCD11	image_AD1
chr12	120080000	124040000	ENSG00000170633	TWAS	RNF34	image_AD1
chr12	53040000	56040000	ENSG00000094916	TWAS	CBX5	image_AD1
chr12	55640000	58488814	ENSG00000123329	TWAS	ARHGAP9	image_AD1
chr14	56480000	60600000	ENSG00000032219	TWAS	ARID4A	image_AD1
chr14	56268939	58440000	ENSG00000053770	TWAS	AP5M1	image_AD1
chr14	56480000	60600000	ENSG00000100567	TWAS	PSMA3	image_AD1
chr14	58080000	60870776	ENSG00000139970	TWAS	RTN1	image_AD1
chr16	66880000	71160000	ENSG00000157315	TWAS	TMED6	image_AD1
chr3	44920000	50320000	ENSG00000114648	TWAS	KLHL18	image_AD1
chr3	44920000	50320000	ENSG00000160799	TWAS	CCDC12	image_AD1
chr3	44920000	50320000	ENSG00000076201	TWAS	PTPN23	image_AD1
chr3	46495640	50320000	ENSG00000163832	TWAS	ELP6	image_AD1
chr3	46680000	50320000	ENSG00000047849	TWAS	MAP4	image_AD1
chr3	46680000	50412998	ENSG00000067560	TWAS	RHOA	image_AD1
chr3	46680000	50320000	ENSG00000132153	TWAS	DHX30	image_AD1
chr3	46585269	50320000	ENSG00000173473	TWAS	SMARCC1	image_AD1
chr3	46680000	50320000	ENSG00000185909	TWAS	KLHDC8B	image_AD1
chr3	46680000	50320000	ENSG00000198218	TWAS	QRICH1	image_AD1
chr3	46680000	50930173	ENSG00000164077	TWAS	MON1A	image_AD1
chr3	46680000	51920000	ENSG00000179564	TWAS	LSMEM2	image_AD1
chr8	117120000	120673453	ENSG00000136960	TWAS	ENPP2	image_AD1
chr8	117120000	120424434	ENSG00000136999	TWAS	CCN3	image_AD1
chr8	39000000	45920000	ENSG00000029534	TWAS	ANK1	image_AD1
chr14	56480000	60600000	ENSG00000100578	TWAS	KIAA0586	image_AD1
chr8	9723768	12600000	ENSG00000171056	TWAS	SOX7	image_AD1
chr8	7160000	9880000	ENSG00000253958	TWAS	CLDN23	image_AD1
chr8	7160000	10116746	ENSG00000104626	TWAS	ERI1	image_AD1
chr8	9054291	12600000	ENSG00000175806	TWAS	MSRA	image_AD1
chr2	234493040	234497080	ENSG00000188042	QTL	ARL4C	image_AD1
chr3	46921725	46982009	ENSG00000160799	QTL	CCDC12	image_AD1
chr3	46979665	47009703	ENSG00000160796	QTL	NBEAL2	image_AD1
chr3	47413680	47477125	ENSG00000114650	QTL	SCAP	image_AD1
chr3	47495639	47513711	ENSG00000163832	QTL	ELP6	image_AD1
chr3	47562237	47580791	ENSG00000114646	QTL	CSPG5	image_AD1
chr3	47585268	47782105	ENSG00000173473	QTL	SMARCC1	image_AD1
chr3	47802949	47850194	ENSG00000132153	QTL	DHX30	image_AD1
chr3	47850689	48089271	ENSG00000047849	QTL	MAP4	image_AD1
chr4	69051362	69112986	ENSG00000171234	QTL	UGT2B7	image_AD1
chr6	17759182	17987634	ENSG00000137177	QTL	KIF13A	image_AD1
chr7	2679521	2775499	ENSG00000174945	QTL	AMZ1	image_AD1
chr7	2728104	2844307	ENSG00000146535	QTL	GNA12	image_AD1
chr7	55019016	55211627	ENSG00000146648	QTL	EGFR	image_AD1
chr8	73064542	73124087	ENSG00000164764	QTL	SBSPON	image_AD1
chr8	119557085	119673452	ENSG00000136960	QTL	ENPP2	image_AD1
chr10	25016611	25026663	ENSG00000185875	QTL	THNSL1	image_AD1
chr10	102461394	102477044	ENSG00000138111	QTL	MFSD13A	image_AD1
chr10	102461880	102502711	ENSG00000138107	QTL	ACTR1A	image_AD1
