#chr	start	end	gene_id	strand	gene_name
chr1	1020119	1056117	ENSG00000188157	+	AGRN
chr1	1081817	1116360	ENSG00000131591	-	C1orf159
chr1	1418419	1421768	ENSG00000235098	-	ANKRD65
chr1	3454664	3481112	ENSG00000130762	+	ARHGEF16
chr1	3487950	3611507	ENSG00000162591	-	MEGF6
chr1	3889124	3900277	ENSG00000198912	-	C1orf174
chr1	5990926	6101192	ENSG00000069424	+	KCNAB2
chr1	6460785	6466174	ENSG00000215788	-	TNFRSF25
chr1	6467121	6520073	ENSG00000171680	-	PLEKHG5
chr1	6634167	6701923	ENSG00000007923	-	DNAJC11
chr1	6785453	7769705	ENSG00000171735	+	CAMTA1
chr1	7954290	7985504	ENSG00000116288	+	PARK7
chr1	8318113	8344166	ENSG00000162426	+	SLC45A1
chr1	8352396	8848920	ENSG00000142599	-	RERE
chr1	9539464	9585172	ENSG00000171612	+	SLC25A33
chr1	9943427	9985500	ENSG00000173614	+	NMNAT1
chr1	11637017	11655784	ENSG00000116661	-	FBXO2
chr1	11785722	11806454	ENSG00000177000	-	MTHFR
chr1	11806095	11848078	ENSG00000011021	+	CLCN6
chr1	11980180	12015210	ENSG00000116688	+	MFN2
chr1	12063302	12144206	ENSG00000120949	+	TNFRSF8
chr1	13892791	15118042	ENSG00000189337	+	KAZN
chr1	16197853	16212651	ENSG00000142632	-	ARHGEF19
chr1	17018721	17054031	ENSG00000117118	-	SDHB
chr1	18871429	18902723	ENSG00000159423	-	ALDH4A1
chr1	19074509	19210265	ENSG00000127481	-	UBR4
chr1	19303964	19312143	ENSG00000053371	-	AKR7A2
chr1	20186095	20196049	ENSG00000162543	+	UBXN10
chr1	20482390	20486209	ENSG00000162545	-	CAMK2N1
chr1	20499447	20508150	ENSG00000090432	-	MUL1
chr1	20552572	20555019	ENSG00000183114	+	FAM43B
chr1	20589085	20618902	ENSG00000158825	+	CDA
chr1	20633457	20651510	ENSG00000158828	+	PINK1
chr1	20664013	20718016	ENSG00000117245	-	KIF17
chr1	21812264	21825224	ENSG00000187942	+	LDLRAD2
chr1	23019442	23083688	ENSG00000004487	+	KDM1A
chr1	23084022	23177807	ENSG00000169641	-	LUZP1
chr1	23191894	23194728	ENSG00000179546	-	HTR1D
chr1	23303770	23344335	ENSG00000125944	-	HNRNPR
chr1	23359447	23369835	ENSG00000125945	-	ZNF436
