#chr	start	end	gene_id	strand	gene_name
chr1	944202	959308	ENSG00000188976	-	NOC2L
chr1	975203	982092	ENSG00000187642	-	PERM1
chr1	998961	1000171	ENSG00000188290	-	HES4
chr1	1020119	1056117	ENSG00000188157	+	AGRN
chr1	1081817	1116360	ENSG00000131591	-	C1orf159
chr1	1203507	1206591	ENSG00000186891	-	TNFRSF18
chr1	1216908	1232066	ENSG00000078808	-	SDF4
chr1	1280435	1292028	ENSG00000162572	+	SCNN1D
chr1	1324755	1328895	ENSG00000224051	+	CPTP
chr1	1401908	1407292	ENSG00000242485	-	MRPL20
chr1	1434860	1442881	ENSG00000179403	+	VWA1
chr1	1471764	1497847	ENSG00000160072	+	ATAD3B
chr1	1512161	1534684	ENSG00000197785	+	ATAD3A
chr1	1615414	1630609	ENSG00000197530	+	MIB2
chr1	1921950	2003836	ENSG00000142609	-	CFAP74
chr1	2050410	2185394	ENSG00000067606	+	PRKCZ
chr1	2228318	2310212	ENSG00000157933	+	SKI
chr1	2321252	2391706	ENSG00000116151	-	MORN1
chr1	2425979	2505531	ENSG00000149527	+	PLCH2
chr1	2508536	2526595	ENSG00000157881	-	PANK4
chr1	2586490	2591468	ENSG00000157870	+	PRXL2B
chr1	3069167	3438620	ENSG00000142611	+	PRDM16
chr1	3454664	3481112	ENSG00000130762	+	ARHGEF16
chr1	3487950	3611507	ENSG00000162591	-	MEGF6
chr1	3625014	3630126	ENSG00000158109	+	TPRG1L
chr1	3778558	3796497	ENSG00000130764	-	LRRC47
chr1	3812085	3857395	ENSG00000116198	-	CEP104
chr1	5990926	6101192	ENSG00000069424	+	KCNAB2
chr1	6101786	6180320	ENSG00000116254	-	CHD5
chr1	6221192	6235971	ENSG00000116237	-	ICMT
chr1	6460785	6466174	ENSG00000215788	-	TNFRSF25
chr1	6624865	6635585	ENSG00000041988	+	THAP3
chr1	6634167	6701923	ENSG00000007923	-	DNAJC11
chr1	6785453	7769705	ENSG00000171735	+	CAMTA1
chr1	7954290	7985504	ENSG00000116288	+	PARK7
chr1	8318113	8344166	ENSG00000162426	+	SLC45A1
chr1	8352396	8848920	ENSG00000142599	-	RERE
chr1	9035105	9088477	ENSG00000142583	-	SLC2A5
chr1	9292893	9369531	ENSG00000171621	+	SPSB1
chr1	9539464	9585172	ENSG00000171612	+	SLC25A33
chr1	9588910	9614876	ENSG00000188807	+	TMEM201
chr1	9651730	9729113	ENSG00000171608	+	PIK3CD
chr1	10032831	10181238	ENSG00000130939	+	UBE4B
chr1	10210569	10381602	ENSG00000054523	+	KIF1B
chr1	10430101	10452152	ENSG00000251503	+	CENPS-CORT
chr1	10430432	10442807	ENSG00000175279	+	CENPS
chr1	11066617	11099868	ENSG00000171824	-	EXOSC10
chr1	11106534	11262550	ENSG00000198793	-	MTOR
chr1	11654374	11663326	ENSG00000132879	+	FBXO44
chr1	11785722	11806454	ENSG00000177000	-	MTHFR
chr1	11806095	11848078	ENSG00000011021	+	CLCN6
chr1	12019465	12032044	ENSG00000116691	+	MIIP
chr1	12567909	12618209	ENSG00000162496	-	DHRS3
chr1	13700197	13825078	ENSG00000116731	+	PRDM2
chr1	13892791	15118042	ENSG00000189337	+	KAZN
chr1	15152531	15220477	ENSG00000171729	+	TMEM51
chr1	15247271	15400282	ENSG00000142621	+	FHAD1
chr1	15490831	15526533	ENSG00000132906	-	CASP9
chr1	15526812	15592378	ENSG00000116138	+	DNAJC16
chr1	15941868	15976131	ENSG00000116809	-	ZBTB17
chr1	16057768	16073650	ENSG00000185519	-	FAM131C
