#chr	start	end	gene_id	strand	gene_name	event_ID
chr2	202773149	202871765	ENSG00000163596	-	ICA1L	image_Aging5; AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	202874260	203014797	ENSG00000138442	-	WDR12	image_Aging5; AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	202912213	202988262	ENSG00000138380	+	CARF	image_Aging5; AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	203014878	203226377	ENSG00000144426	+	NBEAL1	image_Aging5; AD_Bellenguez; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr5	151029944	151093576	ENSG00000145901	-	TNIP1	image_AD2; image_Aging2; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021
chr6	149504494	149546042	ENSG00000131013	-	PPIL4	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149566293	149591747	ENSG00000055211	+	GINM1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149594872	149648971	ENSG00000186625	-	KATNA1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149658152	149718104	ENSG00000131023	-	LATS1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149724314	149749664	ENSG00000120253	-	NUP43	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149749442	149811419	ENSG00000120265	+	PCMT1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149817936	149896010	ENSG00000285991	-	AL355312.5	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149818756	149864358	ENSG00000120256	-	LRP11	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr6	149963942	149973714	ENSG00000111981	+	ULBP1	image_Aging2; AD_Wightman_Excluding23andMe_2021
chr7	55019016	55211627	ENSG00000146648	+	EGFR	image_AD1; AD_Bellenguez
chr17	42950525	42980527	ENSG00000108825	-	PTGES3L-AARSD1	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
chr17	45393901	45434420	ENSG00000159314	-	ARHGAP27	image_AD1; image_Aging5; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021; PD
