#chr	start	end	molecular_id	gene_id	gene_name
chr11	13643803	17560000	ENSG00000152270		
chr12	101073103	103120120	ENSG00000075188		
chr14	54559071	56701526	ENSG00000126777		
chr14	54840000	57301524	ENSG00000139946		
chr14	54271343	56640000	ENSG00000178974		
chr14	72644874	75680000	ENSG00000119661		
chr14	90240000	92417844	ENSG00000015133		
chr16	10840000	16760000	ENSG00000179889		
chr16	23440000	25827632	ENSG00000090905		
chr16	23440000	25911628	ENSG00000158865		
chr16	25040000	34000000	ENSG00000176476		
chr16	25040000	34000000	ENSG00000178952		
chr16	25040000	34000000	ENSG00000184110		
chr16	25040000	34000000	ENSG00000188603		
chr16	25040000	34000000	ENSG00000196502		
chr16	28360000	34000000	ENSG00000140688		
chr16	66880000	75440000	ENSG00000103051		
chr16	66880000	75440000	ENSG00000189091		
chr16	66880000	75440000	ENSG00000132613		
chr17	0	5160000	ENSG00000167720		
chr17	66200000	68744531	ENSG00000130935		
chr17	66200000	69280000	ENSG00000182481		
chr1	0	6480000	ENSG00000067606		
chr1	212880000	215041510	ENSG00000117707		
chr1	46360000	51023954	ENSG00000186094		
chr20	23600000	28720000	ENSG00000100994		
chr20	23600000	28720000	ENSG00000100997		
chr20	23600000	28720000	ENSG00000101004		
chr20	26400000	34320000	ENSG00000171552		
chr20	0	5240000	ENSG00000088854		
chr20	0	5240000	ENSG00000125877		
chr2	30120000	33640000	ENSG00000091106		
chr3	146040000	149480000	ENSG00000174963		
chr3	32720000	36960000	ENSG00000170248		
chr4	81818509	83901166	ENSG00000138674		
chr5	0	4840000	ENSG00000180104		
chr6	25277609	30480000	ENSG00000158406		
chr6	25960000	33560000	ENSG00000204632		
chr6	29640000	33560000	ENSG00000204444		
chr6	29640000	33560000	ENSG00000285085		
chr7	98840000	104960000	ENSG00000285437		
chr7	98840000	102680000	ENSG00000078487		
chr7	98840000	102680000	ENSG00000146834		
chr7	98840000	102680000	ENSG00000185955		
chr8	39000000	45920000	ENSG00000168575		
chr8	39000000	45920000	ENSG00000176209		
chr11	116427772	119320000	ENSG00000177103		
chr12	101012840	103062149	ENSG00000120860		
chr12	101160000	103197833	ENSG00000183395		
chr12	101120182	103197520	ENSG00000185480		
chr14	54051646	56640000	ENSG00000168175		
chr14	90240000	92510554	ENSG00000100796		
chr16	25040000	34000000	ENSG00000168488		
chr16	25040000	34000000	ENSG00000177548		
chr16	28360000	34000000	ENSG00000149929		
chr16	28360000	34000000	ENSG00000174938		
chr16	28360000	34000000	ENSG00000261052		
chr16	28360000	34000000	ENSG00000099381		
chr16	28360000	34000000	ENSG00000178226		
chr16	66170153	71160000	ENSG00000140939		
chr16	66227119	71160000	ENSG00000168701		
chr16	66880000	71160000	ENSG00000103061		
chr16	66880000	71160000	ENSG00000188038		
chr16	66880000	71160000	ENSG00000102908		
chr16	66880000	75440000	ENSG00000103043		
chr16	70080000	77640000	ENSG00000186187		
chr17	18280000	26600000	ENSG00000108599		
chr17	66070444	68245989	ENSG00000198265		
chr19	35640000	43520000	ENSG00000105204		
chr1	0	6480000	ENSG00000169962		
chr20	26400000	34320000	ENSG00000101294		
chr20	26400000	34320000	ENSG00000131055		
chr2	202240000	204447728	ENSG00000138443		
chr3	73800000	78680000	ENSG00000227124		
chr4	54280000	60680000	ENSG00000047315		
chr4	54280000	60680000	ENSG00000084093		
chr6	29640000	33560000	ENSG00000234745		
chr6	29640000	33560000	ENSG00000204469		
chr6	29640000	33560000	ENSG00000244355		
chr7	102312289	104960000	ENSG00000105821		
chr7	98840000	102680000	ENSG00000166925		
chr8	117120000	119951885	ENSG00000164761		
chr3	146040000	149480000	ENSG00000152977		
chr4	37560000	40640000	ENSG00000109787		
chr1	117001749	117036475		ENSG00000134256	CD101
chr3	147386045	147406808		ENSG00000174963	ZIC4
chr3	147393421	147510292		ENSG00000152977	ZIC1
chr4	57030772	57110384		ENSG00000163453	IGFBP7
chr4	82430589	82461176		ENSG00000145293	ENOPH1
chr4	82818508	82901165		ENSG00000138674	SEC31A
chr4	82909972	83012925		ENSG00000189308	LIN54
chr5	321758	438290		ENSG00000063438	AHRR
chr5	443174	471936		ENSG00000180104	EXOC3
chr5	470455	524448		ENSG00000066230	SLC9A3
chr6	29941259	29945883		ENSG00000206503	HLA-A
chr6	30326478	30343728		ENSG00000204599	TRIM39
chr6	56056589	56394093		ENSG00000124749	COL21A1
chr6	126340114	126348874		ENSG00000203760	CENPW
chr6	158232235	158511827		ENSG00000130338	TULP4
chr6	158536435	158635427		ENSG00000146433	TMEM181
chr6	159669068	159762528		ENSG00000112096	SOD2
chr6	159725584	159756318		ENSG00000146457	WTAP
chr6	159762044	159779111		ENSG00000120437	ACAT2
chr6	159778497	159789702		ENSG00000120438	TCP1
chr6	159789811	159798435		ENSG00000112110	MRPL18
chr6	159800248	159820703		ENSG00000146453	PNLDC1
chr7	2679521	2775499		ENSG00000174945	AMZ1
chr7	2728104	2844307		ENSG00000146535	GNA12
chr7	100177562	100221487		ENSG00000066923	STAG3
chr7	100352175	100367732		ENSG00000121716	PILRB
chr7	100367529	100400095		ENSG00000085514	PILRA
chr7	100400852	100428791		ENSG00000078487	ZCWPW1
chr7	100428816	100434117		ENSG00000146834	MEPCE
chr7	100456619	100464259		ENSG00000185955	C7orf61
chr7	100463358	100479231		ENSG00000166925	TSC22D4
chr8	22089149	22104910		ENSG00000158863	FAM160B2
chr8	48710788	48735310		ENSG00000034239	EFCAB1
chr8	118923556	118951884		ENSG00000164761	TNFRSF11B
chr11	18231354	18236801		ENSG00000148965	SAA4
chr11	18239222	18248667		ENSG00000134339	SAA2
chr11	18278667	18322197		ENSG00000110756	HPS5
chr11	18322294	18367044		ENSG00000110768	GTF2H1
chr11	117427771	117817524		ENSG00000177103	DSCAML1
