#chr	start	end	gene_id	strand	gene_name	event_ID
chr1	21822243	21937309	ENSG00000142798	-	HSPG2	image_Aging3
chr1	22025510	22101359	ENSG00000070831	+	CDC42	image_Aging3
chr1	45786986	46036121	ENSG00000086015	+	MAST2	image_Aging2
chr1	117001749	117036475	ENSG00000134256	+	CD101	image_Aging1
chr1	205767985	205775481	ENSG00000117280	-	RAB29	image_Aging4
chr1	205789093	205813747	ENSG00000133065	-	SLC41A1	image_Aging4
chr1	205828024	205850131	ENSG00000162877	-	PM20D1	image_Aging4
chr1	205913047	205943459	ENSG00000174502	-	SLC26A9	image_Aging4
chr1	205976739	206003460	ENSG00000276600	-	RAB7B	image_Aging4
chr1	206008534	206023908	ENSG00000196188	-	CTSE	image_Aging4
chr1	206053172	206102448	ENSG00000263961	+	RHEX	image_Aging4
chr1	236215100	236281957	ENSG00000086619	-	ERO1B	image_AD2; image_Aging4
chr2	54456316	54671445	ENSG00000115306	+	SPTBN1	image_Aging3
chr2	107826891	107892543	ENSG00000196862	+	RGPD4	image_Aging5
chr2	108377953	108388988	ENSG00000198075	+	SULT1C4	image_Aging5
chr2	108449205	108509414	ENSG00000135968	+	GCC2	image_Aging5
chr2	108534354	108687245	ENSG00000169756	+	LIMS1	image_Aging5
chr2	108719481	108785808	ENSG00000153201	+	RANBP2	image_Aging5
chr2	202773149	202871765	ENSG00000163596	-	ICA1L	image_Aging5; AD_Bellenguez; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	202874260	203014797	ENSG00000138442	-	WDR12	image_Aging5; AD_Bellenguez; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	202912213	202988262	ENSG00000138380	+	CARF	image_Aging5; AD_Bellenguez; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	203014878	203226377	ENSG00000144426	+	NBEAL1	image_Aging5; AD_Bellenguez; AD_Wightman_Excluding23andMe_2021; AD_Wightman_ExcludingUKBand23andME_2021
chr2	224765089	225042467	ENSG00000135905	-	DOCK10	image_Aging2
chr2	231961244	232344349	ENSG00000144535	+	DIS3L2	image_AD2
chr2	234493040	234497080	ENSG00000188042	-	ARL4C	image_AD1; image_Aging2
chr3	13316234	13420321	ENSG00000132182	-	NUP210	image_Aging5
chr3	14947583	15053599	ENSG00000177463	+	NR2C2	image_Aging5
chr3	25174331	25597931	ENSG00000077092	+	RARB	image_Aging5
chr3	46921725	46982009	ENSG00000160799	-	CCDC12	image_AD1; image_Aging5
chr3	46979665	47009703	ENSG00000160796	+	NBEAL2	image_AD1; image_Aging5
chr3	47413680	47477125	ENSG00000114650	-	SCAP	image_AD1; image_Aging5
chr3	47495639	47513711	ENSG00000163832	-	ELP6	image_AD1; image_Aging5
chr3	47562237	47580791	ENSG00000114646	-	CSPG5	image_AD1
chr3	47585268	47782105	ENSG00000173473	-	SMARCC1	image_AD1
chr3	47802949	47850194	ENSG00000132153	+	DHX30	image_AD1
chr3	47850689	48089271	ENSG00000047849	-	MAP4	image_AD1
chr3	52836218	52897547	ENSG00000213533	-	STIMATE	image_Aging5
chr3	89107620	89482133	ENSG00000044524	+	EPHA3	image_Aging5
chr3	147386045	147406808	ENSG00000174963	-	ZIC4	image_Aging1
chr3	147393421	147510292	ENSG00000152977	+	ZIC1	image_Aging1
chr3	158644526	158695580	ENSG00000168827	+	GFM1	image_Aging4
chr4	57030772	57110384	ENSG00000163453	-	IGFBP7	image_Aging1
chr4	69051362	69112986	ENSG00000171234	+	UGT2B7	image_AD1; image_Aging3
chr4	82430589	82461176	ENSG00000145293	+	ENOPH1	image_Aging1; Telomere_pc1
chr4	82818508	82901165	ENSG00000138674	-	SEC31A	image_Aging1; Telomere_pc1
chr4	82909972	83012925	ENSG00000189308	-	LIN54	image_Aging1; Telomere_pc1
chr5	321758	438290	ENSG00000063438	+	AHRR	image_Aging1
chr5	443174	471936	ENSG00000180104	+	EXOC3	image_Aging1
chr5	470455	524448	ENSG00000066230	-	SLC9A3	image_Aging1
chr5	66596360	67169594	ENSG00000069020	+	MAST4	image_AD2; image_Aging2
chr5	78002325	78294697	ENSG00000132842	-	AP3B1	image_AD2; image_Aging4
chr5	83471673	83582302	ENSG00000038427	+	VCAN	image_AD2; image_Aging2
chr5	140175155	140282051	ENSG00000120306	+	CYSTM1	image_AD2
chr5	151029944	151093576	ENSG00000145901	-	TNIP1	image_AD2; image_Aging2; AD_Wightman_Full_2021; AD_Wightman_Excluding23andMe_2021
chr6	7726098	7881727	ENSG00000153162	+	BMP6	image_Aging4
chr6	7881516	7910787	ENSG00000239264	-	TXNDC5	image_Aging4
chr6	7881521	8064363	ENSG00000259040	-	BLOC1S5-TXNDC5	image_Aging4
chr6	11537748	11583523	ENSG00000205269	+	TMEM170B	image_AD2
chr6	11537748	11583523	ENSG00000205269	+	TMEM170B	image_Aging2
chr6	17759182	17987634	ENSG00000137177	-	KIF13A	image_AD1
chr6	26457903	26476620	ENSG00000112763	+	BTN2A1	image_Aging5
chr6	27133041	27135290	ENSG00000196787	+	H2AC11	image_AD2; Telomere_pc1
chr6	27873147	27873533	ENSG00000275126	-	H4C13	image_AD2; Telomere_pc1
chr6	28141882	28159459	ENSG00000198315	+	ZKSCAN8	image_Aging5
chr6	29941259	29945883	ENSG00000206503	+	HLA-A	image_Aging1
chr6	30102896	30113089	ENSG00000204616	-	TRIM31	image_Aging5
chr6	30326478	30343728	ENSG00000204599	+	TRIM39	image_Aging1
chr6	31661227	31666282	ENSG00000204438	-	GPANK1	image_Aging5
chr6	31765589	31777327	ENSG00000204396	-	VWA7	image_Aging5
chr6	31982056	32002680	ENSG00000244731	+	C4A	image_Aging5
chr6	32014794	32035417	ENSG00000224389	+	C4B	image_Aging5
chr6	32038326	32041643	ENSG00000231852	+	CYP21A2	image_Aging5
chr6	32041152	32115333	ENSG00000168477	-	TNXB	image_Aging5
chr6	44809316	45377952	ENSG00000196284	-	SUPT3H	image_Aging4
chr6	56056589	56394093	ENSG00000124749	-	COL21A1	image_Aging1
chr6	75291858	75493799	ENSG00000118407	-	FILIP1	image_AD2
chr6	96015973	96215611	ENSG00000172461	+	FUT9	image_Aging5
chr6	96521594	96555275	ENSG00000014123	+	UFL1	image_Aging5
chr6	96562547	96616635	ENSG00000112214	+	FHL5	image_Aging5
chr6	126340114	126348874	ENSG00000203760	+	CENPW	image_Aging1; image_Aging2; image_Aging3; image_Aging5
chr6	158232235	158511827	ENSG00000130338	+	TULP4	image_Aging1
chr6	158536435	158635427	ENSG00000146433	+	TMEM181	image_Aging1
chr6	159669068	159762528	ENSG00000112096	-	SOD2	image_Aging1
chr6	159725584	159756318	ENSG00000146457	+	WTAP	image_Aging1
chr6	159762044	159779111	ENSG00000120437	+	ACAT2	image_Aging1
chr6	159778497	159789702	ENSG00000120438	-	TCP1	image_Aging1
chr6	159789811	159798435	ENSG00000112110	+	MRPL18	image_Aging1
chr6	159800248	159820703	ENSG00000146453	+	PNLDC1	image_Aging1
chr7	2679521	2775499	ENSG00000174945	+	AMZ1	image_AD1; image_Aging1; image_Aging4; image_Aging5
chr7	2728104	2844307	ENSG00000146535	-	GNA12	image_AD1; image_Aging1; image_Aging4; image_Aging5
chr7	7636517	7718606	ENSG00000106399	-	RPA3	image_Aging2
chr7	22889370	23014129	ENSG00000122591	-	FAM126A	image_Aging2
chr7	23105757	23177913	ENSG00000122550	+	KLHL7	image_Aging2
chr7	23182023	23201005	ENSG00000136243	+	NUP42	image_Aging2
chr7	23235966	23275107	ENSG00000136235	+	GPNMB	image_Aging2
chr7	44999474	45076468	ENSG00000136280	+	CCM2	image_AD2
chr7	45100099	45112046	ENSG00000136270	-	TBRG4	image_AD2
chr7	55019016	55211627	ENSG00000146648	+	EGFR	image_AD1; AD_Bellenguez
chr7	100177562	100221487	ENSG00000066923	+	STAG3	image_Aging1
chr7	100352175	100367732	ENSG00000121716	+	PILRB	image_Aging1
chr7	100367529	100400095	ENSG00000085514	+	PILRA	image_Aging1
chr7	100400852	100428791	ENSG00000078487	-	ZCWPW1	image_Aging1
chr7	100428816	100434117	ENSG00000146834	+	MEPCE	image_Aging1
chr7	100456619	100464259	ENSG00000185955	-	C7orf61	image_Aging1
chr7	100463358	100479231	ENSG00000166925	-	TSC22D4	image_Aging1
chr7	148590765	148615859	ENSG00000170279	+	C7orf33	image_Aging2
chr7	149069640	149090781	ENSG00000197362	-	ZNF786	image_Aging2
chr7	149102783	149126323	ENSG00000204947	-	ZNF425	image_Aging2
chr7	149126415	149183041	ENSG00000197024	+	ZNF398	image_Aging2
chr8	22089149	22104910	ENSG00000158863	+	FAM160B2	image_Aging1
chr8	48710788	48735310	ENSG00000034239	-	EFCAB1	image_Aging1
chr8	73064542	73124087	ENSG00000164764	-	SBSPON	image_AD1
chr8	118923556	118951884	ENSG00000164761	-	TNFRSF11B	image_Aging1
chr8	119557085	119673452	ENSG00000136960	-	ENPP2	image_Aging4
chr8	119557085	119673452	ENSG00000136960	-	ENPP2	image_AD1
chr9	86264545	86283101	ENSG00000135070	-	ISCA1	image_Aging3
chr9	86287732	86354453	ENSG00000083223	-	TUT7	image_Aging3
chr11	8693350	8910950	ENSG00000166444	-	DENND2B	image_Aging5
chr11	8911138	8920083	ENSG00000166452	+	AKIP1	image_Aging5
chr11	8947201	8965010	ENSG00000175348	-	TMEM9B	image_Aging5
chr11	10573090	10693987	ENSG00000072952	-	IRAG1	image_Aging5
chr11	18231354	18236801	ENSG00000148965	-	SAA4	image_Aging1
chr11	18239222	18248667	ENSG00000134339	-	SAA2	image_Aging1
chr11	18278667	18322197	ENSG00000110756	-	HPS5	image_Aging1
chr11	18322294	18367044	ENSG00000110768	+	GTF2H1	image_Aging1
chr11	46332904	46380553	ENSG00000149091	+	DGKZ	image_AD2
chr11	46380755	46383836	ENSG00000110492	+	MDK	image_AD2
chr11	46617526	46674817	ENSG00000175224	+	ATG13	image_AD2
chr11	46743047	46846307	ENSG00000175216	-	CKAP5	image_AD2
chr11	46856716	46918641	ENSG00000134569	-	LRP4	image_AD2
chr11	46936688	47164384	ENSG00000149179	+	C11orf49	image_AD2
chr11	47177521	47186442	ENSG00000165912	-	PACSIN3	image_AD2
chr11	47248299	47269032	ENSG00000025434	+	NR1H3	image_AD2
chr11	57667746	57701181	ENSG00000156599	+	ZDHHC5	image_AD2
chr11	57712581	57818430	ENSG00000288534	+	AP001931.2	image_AD2
chr11	57712592	57740972	ENSG00000213593	+	TMX2	image_AD2
chr11	57753242	57819545	ENSG00000198561	+	CTNND1	image_AD2
chr11	61752635	61788517	ENSG00000124920	+	MYRF	image_Aging5; mvage
chr11	61768500	61792801	ENSG00000134825	-	TMEM258	image_Aging5; mvage
chr11	61792979	61867353	ENSG00000134824	+	FADS2	image_Aging5; mvage
chr11	61799626	61829317	ENSG00000149485	-	FADS1	image_Aging5; mvage
chr11	63838927	63911019	ENSG00000072518	+	MARK2	image_Aging5; mvage
chr11	92224817	92896472	ENSG00000165323	+	FAT3	image_Aging4
chr11	93144173	93197990	ENSG00000180773	-	SLC36A4	image_Aging4
chr11	117427771	117817524	ENSG00000177103	-	DSCAML1	image_Aging1
chr11	120325295	120333685	ENSG00000181264	+	TLCD5	image_Aging5
chr11	120336412	120489936	ENSG00000196914	+	ARHGEF12	image_Aging5
chr10	25016611	25026663	ENSG00000185875	+	THNSL1	image_AD1
chr10	28532492	28623111	ENSG00000095787	+	WAC	image_Aging2
chr10	73644880	73663802	ENSG00000166317	-	SYNPO2L	image_Aging5
chr10	73995192	74121362	ENSG00000035403	+	VCL	image_Aging5
chr10	74151201	74709962	ENSG00000156110	+	ADK	image_Aging5
chr10	101570559	101609661	ENSG00000166171	+	DPCD	image_AD2
chr10	102461394	102477044	ENSG00000138111	+	MFSD13A	image_AD1
chr10	102461880	102502711	ENSG00000138107	-	ACTR1A	image_AD1
chr10	102503971	102633534	ENSG00000107882	+	SUFU	image_AD1
chr10	102644478	102658317	ENSG00000171206	+	TRIM8	image_AD1
chr10	102673730	102714396	ENSG00000138175	-	ARL3	image_AD1
chr10	102743947	102834515	ENSG00000166272	+	WBP1L	image_Aging5
chr10	102869469	102901898	ENSG00000214435	+	AS3MT	image_Aging5
chr10	102918293	103090221	ENSG00000148842	+	CNNM2	image_Aging5
chr10	103087184	103277604	ENSG00000076685	-	NT5C2	image_Aging5
chr10	112950246	113167677	ENSG00000148737	+	TCF7L2	image_Aging4
chr10	116849498	116911787	ENSG00000188316	+	ENO4	image_Aging1; image_Aging3
chr10	116881476	117126585	ENSG00000187164	-	SHTN1	image_Aging1; image_Aging3
chr10	124617079	124791726	ENSG00000258539	-	AC068896.1	image_Aging2
chr10	124748148	124791886	ENSG00000203791	-	EEF1AKMT2	image_Aging2
chr12	33374237	33439818	ENSG00000110975	-	SYT10	image_Aging2
chr12	40692438	41072414	ENSG00000018236	+	CNTN1	image_Aging1
chr12	56222014	56229853	ENSG00000139579	+	NABP2	image_AD2; image_Aging4
chr12	56237806	56258383	ENSG00000139645	-	ANKRD52	image_AD2; image_Aging4
chr12	56266941	56270965	ENSG00000135469	+	COQ10A	image_AD2; image_Aging4
